"periode_data","wilayah","jenis_sampah_btiga","jumlah","satuan"
"202306","Jakarta Pusat","Batu Baterai","35,3","kg"
"202306","Jakarta Utara","Batu Baterai","5","kg"
"202306","Jakarta Barat","Batu Baterai","25,47","kg"
"202306","Jakarta Selatan","Batu Baterai","18,32","kg"
"202306","Jakarta Timur","Batu Baterai","3","kg"
"202306","Kepulauan Seribu","Batu Baterai","6,6","kg"
"202306","Jakarta Pusat","E-Waste","444,15","kg"
"202306","Jakarta Utara","E-Waste","1874,68","kg"
"202306","Jakarta Barat","E-Waste","1789,21","kg"
"202306","Jakarta Selatan","E-Waste","1739,39","kg"
"202306","Jakarta Timur","E-Waste","3.561,63","kg"
"202306","Kepulauan Seribu","E-Waste","309,2","kg"
"202306","Jakarta Pusat","Kemasan Kaleng","645,1","kg"
"202306","Jakarta Utara","Kemasan Kaleng","868,22","kg"
"202306","Jakarta Barat","Kemasan Kaleng","686,17","kg"
"202306","Jakarta Selatan","Kemasan Kaleng","744,5","kg"
"202306","Jakarta Timur","Kemasan Kaleng","1222","kg"
"202306","Kepulauan Seribu","Kemasan Kaleng","501,72","kg"
"202306","Jakarta Pusat","Kemasan Plastik","453","kg"
"202306","Jakarta Utara","Kemasan Plastik","293,42","kg"
"202306","Jakarta Barat","Kemasan Plastik","220,56","kg"
"202306","Jakarta Selatan","Kemasan Plastik","97,79","kg"
"202306","Jakarta Timur","Kemasan Plastik","472,57","kg"
"202306","Kepulauan Seribu","Kemasan Plastik","242,68","kg"
"202306","Jakarta Pusat","Lampu Bekas","46,95","kg"
"202306","Jakarta Utara","Lampu Bekas","8,07","kg"
"202306","Jakarta Barat","Lampu Bekas","203,19","kg"
"202306","Jakarta Selatan","Lampu Bekas","134,9","kg"
"202306","Jakarta Timur","Lampu Bekas","137","kg"
"202306","Kepulauan Seribu","Lampu Bekas","47,1","kg"
"202306","Jakarta Pusat","Limbah Medis","-","kg"
"202306","Jakarta Utara","Limbah Medis","-","kg"
"202306","Jakarta Barat","Limbah Medis","173,7","kg"
"202306","Jakarta Selatan","Limbah Medis","143,52","kg"
"202306","Jakarta Timur","Limbah Medis","115","kg"
"202306","Kepulauan Seribu","Limbah Medis","-","kg"
"202306","Jakarta Pusat","Oli Bekas","-","kg"
"202306","Jakarta Utara","Oli Bekas","-","kg"
"202306","Jakarta Barat","Oli Bekas","-","kg"
"202306","Jakarta Selatan","Oli Bekas","-","kg"
"202306","Jakarta Timur","Oli Bekas","-","kg"
"202306","Kepulauan Seribu","Oli Bekas","-","kg"
"202303","Jakarta Pusat","Batu Baterai","21","kg"
